id_aerogenerateur;nom_eolienne;id_parc;code_insee;nom_commune;code_dept;code_reg;puissance;hauteur_totale;hauteur_mat_nacelle;diametre_rotor;cote_ngf;periode_allumage;type_feu;constructeur;reference_modele;x_aerogenerateur;y_aerogenerateur;epsg;libelle;date_maj
0007005662_E1;TN2;0007005662;62180;BRIAS;62;32;2.30;133.00;98.00;70.00;162.000;Jour et Nuit;Feux à éclats;ENERCON;E-70 E4;657878.0;7035086.0;2154;Lambert-93;2023-07-21
0007005662_E2;TN3;0007005662;62180;BRIAS;62;32;2.30;133.00;98.00;70.00;160.000;Jour et Nuit;Feux à éclats;ENERCON;E-70 E4;657948.0;7034832.0;2154;Lambert-93;2023-07-21
0007005662_E3;TN4;0007005662;62580;MONCHY-BRETON;62;32;2.30;133.00;98.00;70.00;160.000;Jour et Nuit;Feux à éclats;ENERCON;E-70 E4;658208.0;7034561.0;2154;Lambert-93;2023-07-21
0007005662_E4;TN5;0007005662;62580;MONCHY-BRETON;62;32;2.30;133.00;98.00;70.00;157.000;Jour et Nuit;Feux à éclats;ENERCON;E-70 E4;658528.0;7034382.0;2154;Lambert-93;2023-07-21
0003203365_E1;;0003203365;03248;ST NICOLAS DES BIEFS;03;84;4.20;150.00;93.50;117.00;1014.600;Jour et Nuit;Feux à éclats;VESTAS;V117 4.2;762112.56;6554770.0;2154;Lambert-93;2023-07-21
0003203365_E2;;0003203365;03248;ST NICOLAS DES BIEFS;03;84;4.20;150.00;93.50;117.00;1002.480;Jour et Nuit;Feux à éclats;VESTAS;V117 4.2;761613.7;6555271.0;2154;Lambert-93;2023-07-21
0003203365_E3;;0003203365;03248;ST NICOLAS DES BIEFS;03;84;4.20;150.00;93.50;117.00;994.700;Jour et Nuit;Feux à éclats;VESTAS;V117 4.2;761163.1;6555469.0;2154;Lambert-93;2023-07-21
0005107809_E1;;0005107809;02743;LE THUEL;02;32;2.50;145.00;101.81;45.00;147.080;Jour et Nuit;Feux à éclats;NORDEX;N90/2500;779742.44;6949687.0;2154;Lambert-93;2023-07-21
0005107809_E3;;0005107809;02743;LE THUEL;02;32;2.50;145.00;101.81;45.00;155.430;Jour et Nuit;Feux à éclats;NORDEX;N90/2500;779934.44;6950199.5;2154;Lambert-93;2023-07-21
0005107809_E4;;0005107809;02743;LE THUEL;02;32;2.50;145.00;101.81;45.00;158.690;Jour et Nuit;Feux à éclats;NORDEX;N90/2500;780091.56;6949942.5;2154;Lambert-93;2023-07-21
0005107809_E5;;0005107809;02743;LE THUEL;02;32;2.50;145.00;101.81;45.00;160.200;Jour et Nuit;Feux à éclats;NORDEX;N90/2500;780091.56;6949688.5;2154;Lambert-93;2023-07-21
0005107809_E6;;0005107809;02743;LE THUEL;02;32;2.50;145.00;101.81;45.00;160.200;Jour et Nuit;Feux à éclats;NORDEX;N90/2500;780304.44;6949378.0;2154;Lambert-93;2023-07-21
0003100106_E1;;0003100106;87149;SAINT-HILAIRE-LA-TREILLE;87;75;2.20;180.00;127.00;110.00;329.400;Jour et Nuit;Feux à éclats;VESTAS;V100-2.2MW;569111.0;6573692.0;2154;Lambert-93;2023-07-21
0003100106_E2;;0003100106;87149;SAINT-HILAIRE-LA-TREILLE;87;75;2.20;180.00;127.00;110.00;317.300;Jour et Nuit;Feux à éclats;VESTAS;V100-2.2MW;569243.0;6573076.0;2154;Lambert-93;2023-07-21
0003100106_E3;;0003100106;87149;SAINT-HILAIRE-LA-TREILLE;87;75;2.20;180.00;127.00;110.00;310.000;Jour et Nuit;Feux à éclats;VESTAS;V100-2.2MW;569557.0;6572822.0;2154;Lambert-93;2023-07-21
0003100106_E4;;0003100106;87149;SAINT-HILAIRE-LA-TREILLE;87;75;2.20;180.00;127.00;110.00;303.400;Jour et Nuit;Feux à éclats;VESTAS;V100-2.2MW;572036.0;6572139.0;2154;Lambert-93;2023-07-21
0003100106_E5;;0003100106;87149;SAINT-HILAIRE-LA-TREILLE;87;75;2.20;180.00;127.00;110.00;337.500;Jour et Nuit;Feux à éclats;VESTAS;V100-2.2MW;572383.0;6572571.0;2154;Lambert-93;2023-07-21
0003100106_E6;;0003100106;87003;ARNAC-LA-POSTE;87;75;2.20;180.00;127.00;110.00;347.200;Jour et Nuit;Feux à éclats;VESTAS;V100-2.2MW;573152.0;6572799.0;2154;Lambert-93;2023-07-21
0003100106_E7;;0003100106;87003;ARNAC-LA-POSTE;87;75;2.20;180.00;127.00;110.00;342.100;Jour et Nuit;Feux à éclats;VESTAS;V100-2.2MW;573579.0;6572475.0;2154;Lambert-93;2023-07-21
0003100106_E8;;0003100106;87003;ARNAC-LA-POSTE;87;75;2.20;180.00;127.00;110.00;351.000;Jour et Nuit;Feux à éclats;VESTAS;V100-2.2MW;574122.0;6572518.0;2154;Lambert-93;2023-07-21
0006307480_E2;;0006307480;49009;ANTOIGNE;49;52;2.00;126.00;86.96;82.00;72.000;Jour et Nuit;Feux à éclats;ENERCON;E-82 E2;461332.28;6669933.5;2154;Lambert-93;2023-07-21
0005704561_E1;;0005704561;10130;DOSNON;10;44;2.00;150.00;105.00;90.00;151.000;Jour et Nuit;Feux à éclats;VESTAS;V90-2.0MW;788225.8;6832460.5;2154;Lambert-93;2023-07-21
0005704561_E2;;0005704561;10130;DOSNON;10;44;2.00;150.00;105.00;90.00;160.000;Jour et Nuit;Feux à éclats;VESTAS;V90-2.0MW;788384.7;6832232.5;2154;Lambert-93;2023-07-21
0005704561_E5;;0005704561;10167;GRANDVILLE;10;44;2.00;150.00;105.00;90.00;137.000;Jour et Nuit;Feux à éclats;VESTAS;V90-2.0MW;789171.2;6831257.0;2154;Lambert-93;2023-07-21
0005704561_E4;;0005704561;10167;GRANDVILLE;10;44;2.00;150.00;105.00;90.00;147.000;Jour et Nuit;Feux à éclats;VESTAS;V90-2.0MW;788892.94;6831653.5;2154;Lambert-93;2023-07-21
0005704561_E3;;0005704561;10167;GRANDVILLE;10;44;2.00;150.00;105.00;90.00;150.000;Jour et Nuit;Feux à éclats;VESTAS;V90-2.0MW;788712.25;6831854.5;2154;Lambert-93;2023-07-21
0005704561_E6;;0005704561;10167;GRANDVILLE;10;44;2.00;150.00;105.00;90.00;133.000;Jour et Nuit;Feux à éclats;VESTAS;V90-2.0MW;789343.75;6831049.5;2154;Lambert-93;2023-07-21
0100008052_E1;E1;0100008052;80132;BRACHES;80;32;6.00;200.00;125.00;150.00;99.500;Jour et Nuit;Feux à éclats;VESTAS;V150-6MW;663504.44;6958099.0;2154;Lambert-93;2023-07-21
0100008052_E2;E2;0100008052;80132;BRACHES;80;32;6.00;200.00;125.00;150.00;100.500;Jour et Nuit;Feux à éclats;VESTAS;V150-6MW;663455.2;6957682.5;2154;Lambert-93;2023-07-21
0010011782_E4;;0010011782;41173;BEAUCE LA ROMAINE;41;24;2.00;119.00;78.00;82.00;124.900;Jour et Nuit;Feux à éclats;ENERCON;E-82 E2;588034.3;6755112.0;2154;Lambert-93;2023-07-21
0010011782_E2;;0010011782;41173;BEAUCE LA ROMAINE;41;24;2.00;119.00;78.00;82.00;126.000;Jour et Nuit;Feux à éclats;ENERCON;E-82 E2;588306.7;6755299.0;2154;Lambert-93;2023-07-21
0010011782_E3;;0010011782;41173;BEAUCE LA ROMAINE;41;24;2.00;119.00;78.00;82.00;126.000;Jour et Nuit;Feux à éclats;ENERCON;E-82 E2;588448.9;6754978.0;2154;Lambert-93;2023-07-21
0010011782_E5;;0010011782;41173;BEAUCE LA ROMAINE;41;24;2.00;119.00;78.00;82.00;126.000;Jour et Nuit;Feux à éclats;ENERCON;E-82 E2;588143.8;6754867.0;2154;Lambert-93;2023-07-21
0010011782_E1;;0010011782;41173;BEAUCE LA ROMAINE;41;24;2.00;119.00;80.00;82.00;126.000;Jour et Nuit;Feux à éclats;ENERCON;E-82 E2;588176.6;6755596.0;2154;Lambert-93;2023-07-21
0005704358_E2;;0005704358;08426;SON;08;44;2.00;126.00;87.00;82.00;144.000;Jour et Nuit;Feux à éclats;ENERCON;E-82 E2;791271.6;6941466.5;2154;Lambert-93;2023-07-21
0005704358_E3;;0005704358;08426;SON;08;44;2.00;126.00;87.00;82.00;126.000;Jour et Nuit;Feux à éclats;ENERCON;E-82 E2;791425.06;6941199.0;2154;Lambert-93;2023-07-21
0005704358_E4;;0005704358;08426;SON;08;44;2.00;126.00;87.00;82.00;110.000;Jour et Nuit;Feux à éclats;ENERCON;E-82 E2;791574.0;6940925.0;2154;Lambert-93;2023-07-21
0005704358_E5;;0005704358;08150;ECLY;08;44;2.00;126.00;87.00;82.00;123.000;Jour et Nuit;Feux à éclats;ENERCON;E-82 E2;791727.3;6940653.0;2154;Lambert-93;2023-07-21
0005704358_E1;;0005704358;08426;SON;08;44;2.00;126.00;87.00;82.00;148.000;Jour et Nuit;Feux à éclats;ENERCON;E-82 E2;791120.8;6941759.5;2154;Lambert-93;2023-07-21
0003102392_E1;;0003102392;86248;ST SECONDIN;86;75;3.00;180.00;117.00;126.00;147.000;Jour et Nuit;Feux à éclats;VESTAS;V126-3.0MW;510140.0;6582813.0;2154;Lambert-93;2023-07-21
0003102392_E2;;0003102392;86248;ST SECONDIN;86;75;3.00;180.00;117.00;126.00;141.000;Jour et Nuit;Feux à éclats;VESTAS;V126-3.0MW;510673.0;6583226.0;2154;Lambert-93;2023-07-21
0003102392_E3;;0003102392;86248;ST SECONDIN;86;75;3.00;180.00;117.00;126.00;137.000;Jour et Nuit;Feux à éclats;VESTAS;V126-3.0MW;510790.0;6583707.0;2154;Lambert-93;2023-07-21
0003102392_E4;;0003102392;86248;ST SECONDIN;86;75;3.00;180.00;117.00;126.00;144.000;Jour et Nuit;Feux à éclats;VESTAS;V126-3.0MW;511352.0;6584234.0;2154;Lambert-93;2023-07-21
0100009237_E1;E1;0100009237;88161;ESCLES;88;44;4.26;149.90;92.00;115.00;328.400;Jour et Nuit;Feux à éclats;ENERCON;E-115;935173.1;6785769.0;2154;Lambert-93;2023-07-21
0100009237_E2;E2;0100009237;88161;ESCLES;88;44;4.26;149.90;92.00;115.00;336.300;Jour et Nuit;Feux à éclats;ENERCON;E-115;935230.06;6785326.0;2154;Lambert-93;2023-07-21
0005517644_E4;;0005517644;56093;KERGRIST;56;53;2.00;118.00;80.00;78.00;115.000;Jour et Nuit;Feux à éclats;VESTAS;V80-2.0MW;256947.83;6799020.0;2154;Lambert-93;2024-10-23
0006605537_E2;;0006605537;11115;CUXAC CABARDES;11;76;2.00;118.00;78.00;80.00;804.680;Jour et Nuit;Feux à éclats;VESTAS;V80-2.0MW;641631.0;6255455.0;2154;Lambert-93;2024-10-23
0100009237_E3;E3;0100009237;88161;ESCLES;88;44;4.26;149.90;92.00;115.00;347.790;Jour et Nuit;Feux à éclats;ENERCON;E-115;935400.5;6784913.0;2154;Lambert-93;2023-07-21
0006605537_E6;;0006605537;11115;CUXAC CABARDES;11;76;2.00;118.00;78.00;80.00;799.070;Jour et Nuit;Feux à éclats;VESTAS;V80-2.0MW;642247.0;6255352.0;2154;Lambert-93;2024-10-23
